produto;descricao;departamento;nome_departamento
3106531;Suplemento Alimentar para Cães e Gatos Food;16;medicamentos-gatos
3099918;Ração Quatree Supreme Cães Filhotes Raças Pequenas 3kg + Bolinha;10;racoes-cachorros
3147172;Palito 5x6 LL Pet;1;petiscos-cachorros
995788;Arranhador Happy Cat Furacão Pet;6;brinquedos-gatos
3127849;Casa Criadora Mokoi Azul;12;casas-camas-cachorros
3102316;Petsporin;13;medicamentos-cachorros
3007133;Brinquedo Osso Halter Animania;11;brinquedos-cachorros
3118435;Filtro Interno com Bomba Sunsun;7;peixes
2996201;Ração Cuidado Urinário Pro Plan UR Cães;10;racoes-cachorros
1014785;Lenço Umedecido MyHug;2;higiene-limpeza-cachorros
3111678;Enxoval Cama de Cachorro com Zíper Pandora com Proteção Capuccino;12;casas-camas-cachorros
1033558;Areia Higiênica Petlike Micro Sílica Para Gatos;3;higiene-limpeza-gatos
3106470;Solução Otológica Otoguard Cepav;13;medicamentos-cachorros
3134946;Ração Hill's Gatos Adultos Cuidado Excelente;8;racoes-gatos
3110168;Enfeite Caravela Mini Lester;7;peixes
3140459;Brinquedo Durabone Flat Odontopet;11;brinquedos-cachorros
3131124;Arranhador Gatos Protetor De Canto De Sofá Cinza;6;brinquedos-gatos
3122116;Osso para Cães Rótula Bacon Petiscão;1;petiscos-cachorros
3087823;Brinquedo para Aves Pendulo Casca de Pinus Real Brinquedos Pet;4;passaros
3116721;Brinquedo Portal 2 Para Aves Big Toys;4;passaros
3099127;Vermífugo Vetmax Plus Suspensão;13;medicamentos-cachorros
3111378;Mordedor Natural Cães GoodLovin Big Casco Bovino;1;petiscos-cachorros
1020117;Shampoo Pelo Escuro Sanol;2;higiene-limpeza-cachorros
3109291;Cobertor Eslovênia Bichinho Chic Rosa;12;casas-camas-cachorros
3130035;Ração Úmida N&D Feline Pumpkin Cordeiro, Abóbora e Blueberry;8;racoes-gatos
1034956;Banho de Gato a Seco Puro Glamour Cat My Pet;3;higiene-limpeza-gatos
1024684;Brinquedo Roda Catnip Jambo Com Pena;6;brinquedos-gatos
3119656;Ração Premier Nattu Cães Filhotes Mandioca;10;racoes-cachorros
3136461;Planta Plástica para Aquário Tudo Pet;7;peixes
3134636;Brinquedo Mordedor Osso de Borracha FuracãoBone Furacão Pet Rosa;11;brinquedos-cachorros
3151169;Ração Frost Gatos Sênior Castrados Supra;8;racoes-gatos
1033957;Toalha Umedecida Blue Premium;3;higiene-limpeza-gatos
3133904;Impeller Rotor Filtro Atman HF0100;7;peixes
969000;Shampoo 2 em 1 Pelos Claros Pet Clean;2;higiene-limpeza-cachorros
3122448;Brinquedo Peixinho no Barbante HomePet;6;brinquedos-gatos
3117060;Colchonete para Casa Muvuca Dog Lar Rosa;12;casas-camas-cachorros
3137033;Petisco Bilisko Palito Fino Maçã e Cenoura para Cães;1;petiscos-cachorros
3121695;Ração Vet Life Natural Canine Urinary Ossalati;10;racoes-cachorros
3127448;Brinquedo Mordedor Osso de Borracha Plaquet Ataque Furacão Pet Rosa;11;brinquedos-cachorros
3135162;NexGard Spectra Antipulgas e Vermífugo Cães 30,1 kg a 60 kg;13;medicamentos-cachorros
3137739;Kit Coxinho Plástico Lateral Para Gaiola 110Ml;4;passaros
1017125;Brinquedo Passarinho com Som HomePet;6;brinquedos-gatos
1033160;Banho a Seco com Lanolina Petbrilho;3;higiene-limpeza-gatos
3126052;Brinquedo Mordedor Osso de Borracha Plaquet Ataque Furacão Pet Azul;11;brinquedos-cachorros
3136597;Prednon Anti-inflamatório para Cães Agener;13;medicamentos-cachorros
3136746;Ração Tetra Colors Bits Granules Alimento Colorante;7;peixes
3146312;Petisco Gourmet para Cães Beiju Carne Bio Dog 3un;1;petiscos-cachorros
3117562;Ração Royal Canin Giant Puppy Cães Gigantes Filhotes;10;racoes-cachorros
3127828;Cama de Cachorro Dupla Face Lola com Proteção Capuccino;12;casas-camas-cachorros
1032200;Tapete Higiênico Water Clean Azul Russo e Russo;2;higiene-limpeza-cachorros
3137840;Karabe Singamose/Gosma Ucb Ucb Vet;4;passaros
3144860;Ração Fórmula Natural Fresh Meat Gatos Sênior Frango;8;racoes-gatos
3105852;Ração Royal Canin Renal Special Gatos Adultos;8;racoes-gatos
3151047;Filtro Externo FE-25 Aquatech;7;peixes
3130002;Bastão para Calopsita Coco Prefere;4;passaros
3145696;Petisco Pedigree Dentastix Cuidado Oral Cães Adultos Raças Médias;1;petiscos-cachorros
1025821;Shampoo Peles Sensíveis PetNature;2;higiene-limpeza-cachorros
1008549;Brinquedo Ratinho com Bolinha para Gatos Meow & Me;6;brinquedos-gatos
3130816;Casinha De Cachorro Mec Pet 03 Vermelha;12;casas-camas-cachorros
1028712;Desembolador de Pelos MyHug;3;higiene-limpeza-gatos
3140917;Osso Sorriso Duraflex LCM;11;brinquedos-cachorros
3131643;Antipulgas Revolution 12% para Cães de 20,1kg a 40kg;13;medicamentos-cachorros
3132758;Ração Magnus Todo Dia Cães Adultos Carne;10;racoes-cachorros
3081001;Ração Poytara Betta;7;peixes
3130927;Brinquedo Varinha Pena Jambo Vermelho;6;brinquedos-gatos
3124136;Anti-inflamatório Cães Posatex Suspensão Otológica;13;medicamentos-cachorros
3145493;Cama Pet Simples Pink;12;casas-camas-cachorros
1034210;Areia Higiênica Kets Premium Perfumada;3;higiene-limpeza-gatos
3133492;Osso Palito Fino Colorido Snack Show;1;petiscos-cachorros
3147425;Ração Royal Canin Urinary Small Dog Cães Adultos;10;racoes-cachorros
3135878;Bola Extra Forte de Tênis LCM;11;brinquedos-cachorros
1026031;Tapete Higiênico Water Clean Vermelho Russo e Russo;2;higiene-limpeza-cachorros
3110760;Piusana Mudamix Mundo Animal;4;passaros
3133345;Ração Three Cats Filhotes Frango;8;racoes-gatos
1026357;Alicate de Unha MyHug;3;higiene-limpeza-gatos
3111501;Ração Vet Life Natural Mini Canine Renal;10;racoes-cachorros
3137895;Bebedouro E Comedouro Bico Fino;4;passaros
3143820;Ração Úmida Pet Delícia Gatos Maravilha de Frango;8;racoes-gatos
3087307;Giardicid 500 mg;13;medicamentos-cachorros
3147264;Filtro Hang On HBL-601 500L/H Sun Sun;7;peixes
1016154;Educador Sanitário Pipi Sanol Dog 20 ml;2;higiene-limpeza-cachorros
3135219;Brinquedo Tartaruga Baby Vinil C-Pet;11;brinquedos-cachorros
3128665;Casinha de Cachorro Plástica Desmontável Rosa;12;casas-camas-cachorros
3124362;Osso para Cães Cadet Gourmet;1;petiscos-cachorros
1015311;Arranhador Para Gatos Canto De Sofá Sustentável Luppet Cinza;6;brinquedos-gatos
